FEE_DATA_SOURCE,TRAN_DT,TRAN_AM,LCTN_ID,CITY_NM,REP NAME,GRANDPARENT_CORP_DBA_NM,PARENT_,CHILD_LCTN_DBA_NM,latitude,longitude,preprocessed_address,preprocessed_partial_address
Settlement,2025-03-29,3256.53,717160012885,KNOXVILLE,"Ely, E",KNOX RAIL SALVAGE MAGNOL,KNOX RAIL SALVAGE MAGNOL,OLD CITY KITCHENS,35.972275584595,-83.918388047723,218 EAST DEPOT AVENUE KNOXVILLE TN 37917,37917 KNOXVILLE TN
Settlement,2025-03-24,924.01,717200144888,NASHVILLE,SkyUnassigned,STEPHENS MILLWORK,STEPHENS MILLWORK,STEPHENS MILLWORK,,,104 SUNSET DRIVE NASHVILLE TN 37207,37207 NASHVILLE TN
Settlement,2025-02-21,154.88,717200082880,SOMERSET,SkyUnassigned,SOMERSET AUTO SALES LLC,SOMERSET AUTO SALES LLC,SOMERSET AUTO SALES LLC,,,145 SOUTH HIGHWAY 27 SOMERSET KY 42501,42501 SOMERSET KY
Settlement,2025-02-10,814.43,717200040888,FARMERS BRANCH,"Bugg, S",CRETEX CONCRETE INC,CRETEX CONCRETE INC,CRETEX CONCRETE INC,32.911681311501,-96.887987203503,2665 VILLA CREEK DRIVE FARMERS BRANCH TX 75234,75234 FARMERS BRANCH TX
Settlement,2025-03-12,92.48,717200116886,DANVILLE,"Bugg, S",DANIELLES DRIVE AWAY,DANIELLES DRIVE AWAY,DANIELLES DRIVE AWAY,37.635486980056,-84.792992917078,1318 LEBANON ROAD DANVILLE KY 40422,40422 DANVILLE KY
Settlement,2025-03-24,206.5,717200138880,TAMPA,"Duff, T",V AND R TRUCK SRVC,V AND R TRUCK SRVC,V AND R TRUCK SRVC,,,611 RIVER BAY DRIVE TAMPA FL 33619,33619 TAMPA FL
Settlement,2025-03-29,613.37,717200110889,ALBUQUERQUE,"Bugg, S",LOBOS MOVING,LOBOS MOVING,LOBOS MOVING,,,1115 FIQUEROA NE ALBUQUERQUE NM 87123,87123 ALBUQUERQUE NM
Settlement,2025-04-04,996.39,717200187887,NOLENSVILLE,"Duff, T",DAVS TOWING SERVICE,DAVS TOWING SERVICE,DAVS TOWING SERVICE,35.976782889038,-86.661419119037,2122 KIDD ROAD NOLENSVILLE TN 37135,37135 NOLENSVILLE TN
Settlement,2025-04-08,81.0,717200120888,DEMOSSVILLE,"Black, S",ILES TRANSPORTATION,ILES TRANSPORTATION,ILES TRANSPORTATION,38.763340498369,-84.505780790872,115 GRANT LANE DEMOSSVILLE KY 41033,41033 DEMOSSVILLE KY
Settlement,2025-02-05,419.29,717200058880,SPRINGFIELD,"Lawhon, H",JONATHAN BUCK,JONATHAN BUCK,JONATHAN BUCK,,,3831 OLD STATE HIGHWAY 11 SPRINGFIELD TN 37172,37172 SPRINGFIELD TN
Settlement,2025-03-10,21.89,717200125887,MT STERLING,"Bugg, S",ROADRUNNERS AUTO,ROADRUNNERS AUTO,ROADRUNNERS AUTO,38.062228027935,-83.931305250941,705 OLD OWINGSVILLE ROAD MT STERLING KY 40353,40353 MT STERLING KY
Settlement,2025-02-11,2.07,717200059888,CLARKSVILLE,"Duff, T",SCREAMING EAGLE,SCREAMING EAGLE,SCREAMING EAGLE,36.574902153839,-87.248882439434,1040 INTERNATIONAL BOULEVARD CLARKSVILLE TN 37040,37040 CLARKSVILLE TN
Settlement,2025-04-03,45.97,717200102886,FLEMINGSBURG,"Bugg, S",A & H WHOLESALE FLEMINGB,A & H WHOLESALE FLEMINGB,A & H WHOLESALE FLEMINGB,38.416682053105,-83.72566436939,395 WEST WATER STREET FLEMINGSBURG KY 41041,41041 FLEMINGSBURG KY
Settlement,2025-03-14,939.42,717200058880,SPRINGFIELD,"Lawhon, H",JONATHAN BUCK,JONATHAN BUCK,JONATHAN BUCK,,,3831 OLD STATE HIGHWAY 11 SPRINGFIELD TN 37172,37172 SPRINGFIELD TN
Settlement,2025-03-13,503.66,717200098886,FRANKLIN,"Duff, T",KNIGHTS AUTOMOTIVE,KNIGHTS AUTOMOTIVE,KNIGHTS AUTOMOTIVE,36.732586544796,-86.576988476676,707 CLAIRE AVENUE FRANKLIN KY 42134,42134 FRANKLIN KY
Settlement,2025-03-26,206.5,717200151883,NASHVILLE,"Duff, T",SOUTH NASHVILLE HEATING,SOUTH NASHVILLE HEATING,SOUTH NASHVILLE HEATING,,,501 VERITAS STREET NASHVILLE TN 37211,37211 NASHVILLE TN
Settlement,2025-03-07,1131.35,717200096880,NOBLESVILLE,SkyUnassigned,COLT MOVING,COLT MOVING,COLT MOVING,40.035829186909,-86.079404521825,17080 BITTNER WAY NOBLESVILLE IN 46062,46062 NOBLESVILLE IN
Settlement,2025-03-18,744.73,717200153889,SHAWNEE,"Gibson, D",VAN EATON READY MIX,VAN EATON READY MIX,VAN EATON READY MIX,,,8 TIMBER POND SHAWNEE OK 74804,74804 SHAWNEE OK
Settlement,2025-03-18,206.5,717200139888,BOWLING GREEN,"Duff, T",SPEED AUTO SALES,SPEED AUTO SALES,SPEED AUTO SALES,,,106 CREEKWOOD AVENUE BOWLING GREEN KY 42101,42101 BOWLING GREEN KY
Settlement,2025-03-31,144.47,717200118882,CINCINNATI,"Black, S",ECONOMY SHINGLE SALES,ECONOMY SHINGLE SALES,ECONOMY SHINGLE SALES,39.145058231726,-84.54149785695,3411 SPRING GROVE AVENUE CINCINNATI OH 45225,45225 CINCINNATI OH
Settlement,2025-02-12,2.07,717200049889,MARYVILLE,"Ely, E",WESTON PAVING COMPANY,WESTON PAVING COMPANY,WESTON PAVING COMPANY,,,1807 CLYDESDALE STREET MARYVILLE TN 37801,37801 MARYVILLE TN
Settlement,2025-03-25,206.5,717200151883,NASHVILLE,"Duff, T",SOUTH NASHVILLE HEATING,SOUTH NASHVILLE HEATING,SOUTH NASHVILLE HEATING,,,501 VERITAS STREET NASHVILLE TN 37211,37211 NASHVILLE TN
Settlement,2025-02-22,1553.27,717200096880,NOBLESVILLE,SkyUnassigned,COLT MOVING,COLT MOVING,COLT MOVING,40.035829186909,-86.079404521825,17080 BITTNER WAY NOBLESVILLE IN 46062,46062 NOBLESVILLE IN
Settlement,2025-02-21,154.88,717200082880,SOMERSET,SkyUnassigned,SOMERSET AUTO SALES LLC,SOMERSET AUTO SALES LLC,SOMERSET AUTO SALES LLC,,,145 SOUTH HIGHWAY 27 SOMERSET KY 42501,42501 SOMERSET KY
Settlement,2025-03-19,64.2,717200147881,SULLIVAN,"Ramirez, A",HOOSIER SPORTS CARDS,HOOSIER SPORTS CARDS,HOOSIER SPORTS CARDS,39.095649025987,-87.408302740237,19 N. COURT STREET SULLIVAN IN 47882,47882 SULLIVAN IN
Settlement,2025-03-26,1451.41,717200118882,CINCINNATI,"Black, S",ECONOMY SHINGLE SALES,ECONOMY SHINGLE SALES,ECONOMY SHINGLE SALES,39.145058231726,-84.54149785695,3411 SPRING GROVE AVENUE CINCINNATI OH 45225,45225 CINCINNATI OH
Settlement,2025-02-10,22.66,717200037884,LAFAYETTE,"Duff, T",SHOCKLEYS AUTO BODY,SHOCKLEYS AUTO BODY,SHOCKLEYS AUTO BODY,,,2744 HIGHWAY 52 WEST LAFAYETTE TN 37083,37083 LAFAYETTE TN
Settlement,2025-04-01,528.35,717200096880,NOBLESVILLE,SkyUnassigned,COLT MOVING,COLT MOVING,COLT MOVING,40.035829186909,-86.079404521825,17080 BITTNER WAY NOBLESVILLE IN 46062,46062 NOBLESVILLE IN
Settlement,2025-03-28,4800.0,717160012885,KNOXVILLE,"Ely, E",KNOX RAIL SALVAGE MAGNOL,KNOX RAIL SALVAGE MAGNOL,OLD CITY KITCHENS,35.972275584595,-83.918388047723,218 EAST DEPOT AVENUE KNOXVILLE TN 37917,37917 KNOXVILLE TN
Settlement,2025-03-24,361.38,717200105889,FRENCHBURG,"Bugg, S",NEIGHBORS GARAGE,NEIGHBORS GARAGE,NEIGHBORS GARAGE,,,OLD US HIGHWAY 460 FRENCHBURG KY 40322,40322 FRENCHBURG KY
Settlement,2025-04-04,51.63,717200181880,SCOTTSVILLE,"Duff, T",GOAD FUNERAL HOME,GOAD FUNERAL HOME,GOAD FUNERAL HOME,36.753511972481,-86.191874557047,215 WEST MAIN STREET SCOTTSVILLE KY 42164,42164 SCOTTSVILLE KY
Settlement,2025-03-08,207.37,717200058880,SPRINGFIELD,"Lawhon, H",JONATHAN BUCK,JONATHAN BUCK,JONATHAN BUCK,,,3831 OLD STATE HIGHWAY 11 SPRINGFIELD TN 37172,37172 SPRINGFIELD TN
Settlement,2025-03-23,350.0,717200137882,NASHVILLE,"Duff, T",HOSLER TOW,HOSLER TOW,HOSLER TOW,36.042605646763,-86.581622353384,4317 MYSTIC VALLEY COURT NASHVILLE TN 37013,37013 NASHVILLE TN
Settlement,2025-03-06,250.0,717200131885,LAFAYETTE,"Duff, T",SHOCKLEYS TOWING,SHOCKLEYS TOWING,SHOCKLEYS TOWING,,,2744 HIGHWAY 52 WEST LAFAYETTE TN 37083,37083 LAFAYETTE TN
Settlement,2025-03-13,42.8,717200147881,SULLIVAN,"Ramirez, A",HOOSIER SPORTS CARDS,HOOSIER SPORTS CARDS,HOOSIER SPORTS CARDS,39.095649025987,-87.408302740237,19 N. COURT STREET SULLIVAN IN 47882,47882 SULLIVAN IN
Settlement,2025-03-09,141.97,717200128881,COLUMBIA,"Duff, T",D D TOWING AND RECOVERY,D D TOWING AND RECOVERY,D D TOWING AND RECOVERY,35.578277235296,-87.046051166449,2643 LEAH DRIVE COLUMBIA TN 38401,38401 COLUMBIA TN
Settlement,2025-03-29,206.5,717200139888,BOWLING GREEN,"Duff, T",SPEED AUTO SALES,SPEED AUTO SALES,SPEED AUTO SALES,,,106 CREEKWOOD AVENUE BOWLING GREEN KY 42101,42101 BOWLING GREEN KY
Settlement,2025-03-03,402.06,717200096880,NOBLESVILLE,SkyUnassigned,COLT MOVING,COLT MOVING,COLT MOVING,40.035829186909,-86.079404521825,17080 BITTNER WAY NOBLESVILLE IN 46062,46062 NOBLESVILLE IN
Settlement,2025-04-01,51.63,717200121886,GALLATIN,"Duff, T",HIPPIE HOUNDS PET SALON,HIPPIE HOUNDS PET SALON,HIPPIE HOUNDS PET SALON,36.390167810787,-86.44699883869,207 NORTH WATER AVENUE GALLATIN TN 37066,37066 GALLATIN TN
